"time","steps","date","wday","hour","minute","month"
2014-10-03 00:45:00,0,"2014-10-03","Fri",0,45,10
2014-10-03 01:00:00,0,"2014-10-03","Fri",1,0,10
2014-10-03 01:15:00,0,"2014-10-03","Fri",1,15,10
2014-10-03 01:30:00,0,"2014-10-03","Fri",1,30,10
2014-10-03 01:45:00,0,"2014-10-03","Fri",1,45,10
2014-10-03 02:00:00,0,"2014-10-03","Fri",2,0,10
2014-10-03 02:15:00,0,"2014-10-03","Fri",2,15,10
2014-10-03 02:30:00,0,"2014-10-03","Fri",2,30,10
2014-10-03 02:45:00,0,"2014-10-03","Fri",2,45,10
2014-10-03 03:00:00,0,"2014-10-03","Fri",3,0,10
2014-10-03 03:15:00,0,"2014-10-03","Fri",3,15,10
2014-10-03 03:30:00,0,"2014-10-03","Fri",3,30,10
2014-10-03 03:45:00,0,"2014-10-03","Fri",3,45,10
2014-10-03 04:00:00,0,"2014-10-03","Fri",4,0,10
2014-10-03 04:15:00,0,"2014-10-03","Fri",4,15,10
2014-10-03 04:30:00,0,"2014-10-03","Fri",4,30,10
2014-10-03 04:45:00,0,"2014-10-03","Fri",4,45,10
2014-10-03 05:00:00,0,"2014-10-03","Fri",5,0,10
2014-10-03 05:15:00,0,"2014-10-03","Fri",5,15,10
2014-10-03 05:30:00,0,"2014-10-03","Fri",5,30,10
2014-10-03 05:45:00,0,"2014-10-03","Fri",5,45,10
2014-10-03 06:00:00,0,"2014-10-03","Fri",6,0,10
2014-10-03 06:15:00,0,"2014-10-03","Fri",6,15,10
2014-10-03 06:30:00,0,"2014-10-03","Fri",6,30,10
2014-10-03 06:45:00,0,"2014-10-03","Fri",6,45,10
2014-10-03 07:00:00,0,"2014-10-03","Fri",7,0,10
2014-10-03 07:15:00,0,"2014-10-03","Fri",7,15,10
2014-10-03 07:30:00,0,"2014-10-03","Fri",7,30,10
2014-10-03 07:45:00,0,"2014-10-03","Fri",7,45,10
2014-10-03 08:00:00,0,"2014-10-03","Fri",8,0,10
2014-10-03 08:15:00,0,"2014-10-03","Fri",8,15,10
2014-10-03 08:30:00,0,"2014-10-03","Fri",8,30,10
2014-10-03 08:45:00,0,"2014-10-03","Fri",8,45,10
2014-10-03 09:00:00,0,"2014-10-03","Fri",9,0,10
2014-10-03 09:15:00,0,"2014-10-03","Fri",9,15,10
2014-10-03 09:30:00,0,"2014-10-03","Fri",9,30,10
2014-10-03 09:45:00,0,"2014-10-03","Fri",9,45,10
2014-10-03 10:00:00,0,"2014-10-03","Fri",10,0,10
2014-10-03 10:15:00,0,"2014-10-03","Fri",10,15,10
2014-10-03 10:30:00,0,"2014-10-03","Fri",10,30,10
2014-10-03 10:45:00,0,"2014-10-03","Fri",10,45,10
2014-10-03 11:00:00,0,"2014-10-03","Fri",11,0,10
2014-10-03 11:15:00,0,"2014-10-03","Fri",11,15,10
2014-10-03 11:30:00,0,"2014-10-03","Fri",11,30,10
2014-10-03 11:45:00,0,"2014-10-03","Fri",11,45,10
2014-10-03 12:00:00,0,"2014-10-03","Fri",12,0,10
2014-10-03 12:15:00,0,"2014-10-03","Fri",12,15,10
2014-10-03 12:30:00,0,"2014-10-03","Fri",12,30,10
2014-10-03 12:45:00,0,"2014-10-03","Fri",12,45,10
2014-10-03 13:00:00,0,"2014-10-03","Fri",13,0,10
2014-10-03 13:15:00,0,"2014-10-03","Fri",13,15,10
2014-10-03 13:30:00,0,"2014-10-03","Fri",13,30,10
2014-10-03 13:45:00,0,"2014-10-03","Fri",13,45,10
2014-10-03 14:00:00,0,"2014-10-03","Fri",14,0,10
2014-10-03 14:15:00,0,"2014-10-03","Fri",14,15,10
2014-10-03 14:30:00,0,"2014-10-03","Fri",14,30,10
2014-10-03 14:45:00,0,"2014-10-03","Fri",14,45,10
2014-10-03 15:00:00,0,"2014-10-03","Fri",15,0,10
2014-10-03 15:15:00,0,"2014-10-03","Fri",15,15,10
2014-10-03 15:30:00,0,"2014-10-03","Fri",15,30,10
2014-10-03 15:45:00,0,"2014-10-03","Fri",15,45,10
2014-10-03 16:00:00,0,"2014-10-03","Fri",16,0,10
2014-10-03 16:15:00,0,"2014-10-03","Fri",16,15,10
2014-10-03 16:30:00,0,"2014-10-03","Fri",16,30,10
2014-10-03 16:45:00,0,"2014-10-03","Fri",16,45,10
2014-10-03 17:00:00,0,"2014-10-03","Fri",17,0,10
2014-10-03 17:15:00,0,"2014-10-03","Fri",17,15,10
2014-10-03 17:30:00,0,"2014-10-03","Fri",17,30,10
2014-10-03 17:45:00,0,"2014-10-03","Fri",17,45,10
2014-10-03 18:00:00,0,"2014-10-03","Fri",18,0,10
2014-10-03 18:15:00,0,"2014-10-03","Fri",18,15,10
2014-10-03 18:30:00,0,"2014-10-03","Fri",18,30,10
2014-10-03 18:45:00,0,"2014-10-03","Fri",18,45,10
2014-10-03 19:00:00,0,"2014-10-03","Fri",19,0,10
2014-10-03 19:15:00,0,"2014-10-03","Fri",19,15,10
2014-10-03 19:30:00,0,"2014-10-03","Fri",19,30,10
2014-10-03 19:45:00,0,"2014-10-03","Fri",19,45,10
2014-10-03 20:00:00,0,"2014-10-03","Fri",20,0,10
2014-10-03 20:15:00,0,"2014-10-03","Fri",20,15,10
2014-10-03 20:30:00,0,"2014-10-03","Fri",20,30,10
2014-10-03 20:45:00,0,"2014-10-03","Fri",20,45,10
2014-10-03 21:00:00,0,"2014-10-03","Fri",21,0,10
2014-10-03 21:15:00,0,"2014-10-03","Fri",21,15,10
2014-10-03 21:30:00,0,"2014-10-03","Fri",21,30,10
2014-10-03 21:45:00,0,"2014-10-03","Fri",21,45,10
2014-10-03 22:00:00,0,"2014-10-03","Fri",22,0,10
2014-10-03 22:15:00,0,"2014-10-03","Fri",22,15,10
2014-10-03 22:30:00,0,"2014-10-03","Fri",22,30,10
2014-10-03 22:45:00,0,"2014-10-03","Fri",22,45,10
2014-10-03 23:00:00,0,"2014-10-03","Fri",23,0,10
2014-10-03 23:15:00,0,"2014-10-03","Fri",23,15,10
2014-10-03 23:30:00,0,"2014-10-03","Fri",23,30,10
2014-10-03 23:45:00,0,"2014-10-03","Fri",23,45,10
2014-10-04 00:00:00,0,"2014-10-04","Sat",0,0,10
2014-10-04 00:15:00,0,"2014-10-04","Sat",0,15,10
2014-10-04 00:30:00,0,"2014-10-04","Sat",0,30,10
2014-10-04 00:45:00,0,"2014-10-04","Sat",0,45,10
2014-10-04 01:00:00,0,"2014-10-04","Sat",1,0,10
2014-10-04 01:15:00,0,"2014-10-04","Sat",1,15,10
2014-10-04 01:30:00,0,"2014-10-04","Sat",1,30,10
2014-10-04 01:45:00,0,"2014-10-04","Sat",1,45,10
2014-10-04 02:00:00,0,"2014-10-04","Sat",2,0,10
2014-10-04 02:15:00,0,"2014-10-04","Sat",2,15,10
2014-10-04 02:30:00,0,"2014-10-04","Sat",2,30,10
2014-10-04 02:45:00,0,"2014-10-04","Sat",2,45,10
2014-10-04 03:00:00,0,"2014-10-04","Sat",3,0,10
2014-10-04 03:15:00,0,"2014-10-04","Sat",3,15,10
2014-10-04 03:30:00,0,"2014-10-04","Sat",3,30,10
2014-10-04 03:45:00,0,"2014-10-04","Sat",3,45,10
2014-10-04 04:00:00,0,"2014-10-04","Sat",4,0,10
2014-10-04 04:15:00,0,"2014-10-04","Sat",4,15,10
2014-10-04 04:30:00,0,"2014-10-04","Sat",4,30,10
2014-10-04 04:45:00,0,"2014-10-04","Sat",4,45,10
2014-10-04 05:00:00,0,"2014-10-04","Sat",5,0,10
2014-10-04 05:15:00,0,"2014-10-04","Sat",5,15,10
2014-10-04 05:30:00,0,"2014-10-04","Sat",5,30,10
2014-10-04 05:45:00,0,"2014-10-04","Sat",5,45,10
2014-10-04 06:00:00,0,"2014-10-04","Sat",6,0,10
2014-10-04 06:15:00,0,"2014-10-04","Sat",6,15,10
2014-10-04 06:30:00,0,"2014-10-04","Sat",6,30,10
2014-10-04 06:45:00,0,"2014-10-04","Sat",6,45,10
2014-10-04 07:00:00,0,"2014-10-04","Sat",7,0,10
2014-10-04 07:15:00,0,"2014-10-04","Sat",7,15,10
2014-10-04 07:30:00,0,"2014-10-04","Sat",7,30,10
2014-10-04 07:45:00,0,"2014-10-04","Sat",7,45,10
2014-10-04 08:00:00,0,"2014-10-04","Sat",8,0,10
2014-10-04 08:15:00,0,"2014-10-04","Sat",8,15,10
2014-10-04 08:30:00,0,"2014-10-04","Sat",8,30,10
2014-10-04 08:45:00,0,"2014-10-04","Sat",8,45,10
2014-10-04 09:00:00,0,"2014-10-04","Sat",9,0,10
2014-10-04 09:15:00,0,"2014-10-04","Sat",9,15,10
2014-10-04 09:30:00,0,"2014-10-04","Sat",9,30,10
2014-10-04 09:45:00,0,"2014-10-04","Sat",9,45,10
2014-10-04 10:00:00,0,"2014-10-04","Sat",10,0,10
2014-10-04 10:15:00,0,"2014-10-04","Sat",10,15,10
2014-10-04 10:30:00,0,"2014-10-04","Sat",10,30,10
2014-10-04 10:45:00,0,"2014-10-04","Sat",10,45,10
2014-10-04 11:00:00,0,"2014-10-04","Sat",11,0,10
2014-10-04 11:15:00,0,"2014-10-04","Sat",11,15,10
2014-10-04 11:30:00,0,"2014-10-04","Sat",11,30,10
2014-10-04 11:45:00,0,"2014-10-04","Sat",11,45,10
2014-10-04 12:00:00,0,"2014-10-04","Sat",12,0,10
2014-10-04 12:15:00,0,"2014-10-04","Sat",12,15,10
2014-10-04 12:30:00,0,"2014-10-04","Sat",12,30,10
2014-10-04 12:45:00,0,"2014-10-04","Sat",12,45,10
2014-10-04 13:00:00,0,"2014-10-04","Sat",13,0,10
2014-10-04 13:15:00,0,"2014-10-04","Sat",13,15,10
2014-10-04 13:30:00,0,"2014-10-04","Sat",13,30,10
2014-10-04 13:45:00,0,"2014-10-04","Sat",13,45,10
2014-10-04 14:00:00,0,"2014-10-04","Sat",14,0,10
2014-10-04 14:15:00,0,"2014-10-04","Sat",14,15,10
2014-10-04 14:30:00,0,"2014-10-04","Sat",14,30,10
2014-10-04 14:45:00,0,"2014-10-04","Sat",14,45,10
2014-10-04 15:00:00,0,"2014-10-04","Sat",15,0,10
2014-10-04 15:15:00,0,"2014-10-04","Sat",15,15,10
2014-10-04 15:30:00,0,"2014-10-04","Sat",15,30,10
2014-10-04 15:45:00,0,"2014-10-04","Sat",15,45,10
2014-10-04 16:00:00,0,"2014-10-04","Sat",16,0,10
2014-10-04 16:15:00,0,"2014-10-04","Sat",16,15,10
2014-10-04 16:30:00,0,"2014-10-04","Sat",16,30,10
2014-10-04 16:45:00,0,"2014-10-04","Sat",16,45,10
2014-10-04 17:00:00,0,"2014-10-04","Sat",17,0,10
2014-10-04 17:15:00,0,"2014-10-04","Sat",17,15,10
2014-10-04 17:30:00,0,"2014-10-04","Sat",17,30,10
2014-10-04 17:45:00,0,"2014-10-04","Sat",17,45,10
2014-10-04 18:00:00,0,"2014-10-04","Sat",18,0,10
2014-10-04 18:15:00,0,"2014-10-04","Sat",18,15,10
2014-10-04 18:30:00,0,"2014-10-04","Sat",18,30,10
2014-10-04 18:45:00,0,"2014-10-04","Sat",18,45,10
2014-10-04 19:00:00,0,"2014-10-04","Sat",19,0,10
2014-10-04 19:15:00,0,"2014-10-04","Sat",19,15,10
2014-10-04 19:30:00,0,"2014-10-04","Sat",19,30,10
2014-10-04 19:45:00,0,"2014-10-04","Sat",19,45,10
2014-10-04 20:00:00,0,"2014-10-04","Sat",20,0,10
2014-10-04 20:15:00,0,"2014-10-04","Sat",20,15,10
2014-10-04 20:30:00,0,"2014-10-04","Sat",20,30,10
2014-10-04 20:45:00,0,"2014-10-04","Sat",20,45,10
2014-10-04 21:00:00,0,"2014-10-04","Sat",21,0,10
2014-10-04 21:15:00,0,"2014-10-04","Sat",21,15,10
2014-10-04 21:30:00,0,"2014-10-04","Sat",21,30,10
2014-10-04 21:45:00,0,"2014-10-04","Sat",21,45,10
2014-10-04 22:00:00,0,"2014-10-04","Sat",22,0,10
2014-10-04 22:15:00,0,"2014-10-04","Sat",22,15,10
2014-10-04 22:30:00,0,"2014-10-04","Sat",22,30,10
2014-10-04 22:45:00,0,"2014-10-04","Sat",22,45,10
2014-10-04 23:00:00,0,"2014-10-04","Sat",23,0,10
2014-10-04 23:15:00,0,"2014-10-04","Sat",23,15,10
2014-10-04 23:30:00,0,"2014-10-04","Sat",23,30,10
2014-10-04 23:45:00,0,"2014-10-04","Sat",23,45,10
2014-10-05 00:00:00,0,"2014-10-05","Sun",0,0,10
2014-10-05 00:15:00,0,"2014-10-05","Sun",0,15,10
2014-10-05 00:30:00,0,"2014-10-05","Sun",0,30,10
2014-10-05 00:45:00,0,"2014-10-05","Sun",0,45,10
2014-10-05 01:00:00,0,"2014-10-05","Sun",1,0,10
2014-10-05 01:15:00,0,"2014-10-05","Sun",1,15,10
2014-10-05 01:30:00,0,"2014-10-05","Sun",1,30,10
2014-10-05 01:45:00,0,"2014-10-05","Sun",1,45,10
2014-10-05 02:00:00,0,"2014-10-05","Sun",2,0,10
2014-10-05 02:15:00,0,"2014-10-05","Sun",2,15,10
2014-10-05 02:30:00,0,"2014-10-05","Sun",2,30,10
2014-10-05 02:45:00,0,"2014-10-05","Sun",2,45,10
2014-10-05 03:00:00,0,"2014-10-05","Sun",3,0,10
2014-10-05 03:15:00,0,"2014-10-05","Sun",3,15,10
2014-10-05 03:30:00,0,"2014-10-05","Sun",3,30,10
2014-10-05 03:45:00,0,"2014-10-05","Sun",3,45,10
2014-10-05 04:00:00,0,"2014-10-05","Sun",4,0,10
2014-10-05 04:15:00,0,"2014-10-05","Sun",4,15,10
2014-10-05 04:30:00,0,"2014-10-05","Sun",4,30,10
2014-10-05 04:45:00,0,"2014-10-05","Sun",4,45,10
2014-10-05 05:00:00,0,"2014-10-05","Sun",5,0,10
2014-10-05 05:15:00,0,"2014-10-05","Sun",5,15,10
2014-10-05 05:30:00,0,"2014-10-05","Sun",5,30,10
2014-10-05 05:45:00,0,"2014-10-05","Sun",5,45,10
2014-10-05 06:00:00,0,"2014-10-05","Sun",6,0,10
2014-10-05 06:15:00,0,"2014-10-05","Sun",6,15,10
2014-10-05 06:30:00,0,"2014-10-05","Sun",6,30,10
2014-10-05 06:45:00,0,"2014-10-05","Sun",6,45,10
2014-10-05 07:00:00,0,"2014-10-05","Sun",7,0,10
2014-10-05 07:15:00,0,"2014-10-05","Sun",7,15,10
2014-10-05 07:30:00,0,"2014-10-05","Sun",7,30,10
2014-10-05 07:45:00,0,"2014-10-05","Sun",7,45,10
2014-10-05 08:00:00,0,"2014-10-05","Sun",8,0,10
2014-10-05 08:15:00,0,"2014-10-05","Sun",8,15,10
