"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"260","2015-04-11","21:52","6:43","531","NULL","8","NULL","NULL","518","9.5","97"
"261","2015-08-18","21:17","4:16","419","NULL","6","NULL","NULL","403","9","91"
"262","2014-12-03","21:21","4:16","415","NULL","8","NULL","NULL","396","9","89"
"263","2015-02-27","20:42","5:51","549","NULL","4","NULL","NULL","530","9.5","96"
"264","2015-06-06","22:03","5:45","462","NULL","6","NULL","NULL","446","9.5","93"
"265","2014-12-13","21:49","5:48","479","NULL","8","NULL","NULL","463","9.5","93"
"266","2015-05-21","21:10","4:15","425","NULL","9","NULL","NULL","386","8","82"
"267","2015-04-20","21:41","5:30","469","NULL","8","NULL","NULL","455","9.5","95"
"268","2014-12-18","21:17","4:17","420","NULL","4","NULL","NULL","403","9","91"
"269","2015-06-23","21:20","4:15","415","NULL","6","NULL","NULL","396","9","88"
"270","2015-06-20","21:53","4:30","397","NULL","11","NULL","NULL","364","8","79"
"271","2015-01-05","21:34","5:49","495","NULL","2","NULL","NULL","488","9.5","97"
"272","2015-04-08","21:19","4:15","416","NULL","2","NULL","NULL","407","9.5","94"
"273","2015-04-07","21:03","4:34","451","NULL","12","NULL","NULL","419","8.5","87"
"274","2015-03-12","21:17","4:19","422","NULL","2","NULL","NULL","407","9","91"
"275","2015-07-28","21:12","4:15","423","NULL","3","NULL","NULL","410","9","92"
"276","2015-05-03","21:39","5:32","473","NULL","11","NULL","NULL","432","8.5","83"
"277","2015-01-28","21:15","4:30","435","NULL","7","NULL","NULL","418","9","90"
"278","2015-09-01","21:07","4:16","429","NULL","4","NULL","NULL","407","9","88"
"279","2015-08-01","21:21","4:44","443","NULL","9","NULL","NULL","422","9","89"
"280","2015-08-26","21:17","4:15","418","NULL","12","NULL","NULL","387","8.5","84"
"281","2015-04-05","21:57","6:38","521","NULL","6","NULL","NULL","498","9.5","95"
"282","2015-03-17","21:11","4:16","425","NULL","6","NULL","NULL","407","9","90"
"283","2015-08-25","21:25","4:16","411","NULL","9","NULL","NULL","389","8.5","87"
"284","2015-06-13","21:48","7:42","594","NULL","13","NULL","NULL","548","9","88"
"285","2014-12-29","21:14","5:45","511","NULL","4","NULL","NULL","499","9.5","96"
"286","2015-03-23","22:45","6:37","472","NULL","6","NULL","NULL","444","9","88"
"287","2015-02-26","21:19","4:33","434","NULL","6","NULL","NULL","416","9","90"
"288","2015-03-03","21:04","4:26","442","NULL","8","NULL","NULL","419","9","89"
"289","2015-07-12","21:44","5:13","449","NULL","8","NULL","NULL","430","9","91"
"290","2015-08-23","15:10","21:30","380","NULL","20","NULL","NULL","231","4","39"
"291","2014-11-26","21:38","4:22","404","NULL","4","NULL","NULL","386","8.5","86"
"292","2015-08-22","21:12","4:19","427","NULL","6","NULL","NULL","407","9","90"
"293","2015-08-29","21:05","4:30","445","NULL","6","NULL","NULL","431","9","92"
"294","2015-07-25","21:18","4:19","421","NULL","4","NULL","NULL","405","9","91"
"295","2015-07-21","21:12","4:18","426","NULL","7","NULL","NULL","402","9","88"
