"","time","steps","date","wday","hour","minute","month"
"186",2015-01-02 22:15:00,0,"2015-01-02","Fri",22,15,1
"187",2015-01-02 22:30:00,0,"2015-01-02","Fri",22,30,1
"188",2015-01-02 22:45:00,0,"2015-01-02","Fri",22,45,1
"189",2015-01-02 23:00:00,0,"2015-01-02","Fri",23,0,1
"190",2015-01-02 23:15:00,0,"2015-01-02","Fri",23,15,1
"191",2015-01-02 23:30:00,0,"2015-01-02","Fri",23,30,1
"192",2015-01-02 23:45:00,0,"2015-01-02","Fri",23,45,1
"193",2015-01-03 00:00:00,0,"2015-01-03","Sat",0,0,1
"194",2015-01-03 00:15:00,0,"2015-01-03","Sat",0,15,1
"195",2015-01-03 00:30:00,0,"2015-01-03","Sat",0,30,1
"196",2015-01-03 00:45:00,0,"2015-01-03","Sat",0,45,1
"197",2015-01-03 01:00:00,0,"2015-01-03","Sat",1,0,1
"198",2015-01-03 01:15:00,0,"2015-01-03","Sat",1,15,1
"199",2015-01-03 01:30:00,0,"2015-01-03","Sat",1,30,1
"200",2015-01-03 01:45:00,0,"2015-01-03","Sat",1,45,1
"201",2015-01-03 02:00:00,0,"2015-01-03","Sat",2,0,1
"202",2015-01-03 02:15:00,0,"2015-01-03","Sat",2,15,1
"203",2015-01-03 02:30:00,0,"2015-01-03","Sat",2,30,1
"204",2015-01-03 02:45:00,0,"2015-01-03","Sat",2,45,1
"205",2015-01-03 03:00:00,0,"2015-01-03","Sat",3,0,1
"206",2015-01-03 03:15:00,0,"2015-01-03","Sat",3,15,1
"207",2015-01-03 03:30:00,0,"2015-01-03","Sat",3,30,1
"208",2015-01-03 03:45:00,0,"2015-01-03","Sat",3,45,1
"209",2015-01-03 04:00:00,0,"2015-01-03","Sat",4,0,1
"210",2015-01-03 04:15:00,0,"2015-01-03","Sat",4,15,1
"211",2015-01-03 04:30:00,0,"2015-01-03","Sat",4,30,1
"212",2015-01-03 04:45:00,0,"2015-01-03","Sat",4,45,1
"213",2015-01-03 05:00:00,0,"2015-01-03","Sat",5,0,1
"214",2015-01-03 05:15:00,0,"2015-01-03","Sat",5,15,1
"215",2015-01-03 05:30:00,0,"2015-01-03","Sat",5,30,1
"216",2015-01-03 05:45:00,0,"2015-01-03","Sat",5,45,1
"217",2015-01-03 06:00:00,0,"2015-01-03","Sat",6,0,1
"218",2015-01-03 06:15:00,0,"2015-01-03","Sat",6,15,1
"219",2015-01-03 06:30:00,0,"2015-01-03","Sat",6,30,1
"220",2015-01-03 06:45:00,0,"2015-01-03","Sat",6,45,1
"221",2015-01-03 07:00:00,0,"2015-01-03","Sat",7,0,1
"222",2015-01-03 07:15:00,0,"2015-01-03","Sat",7,15,1
"223",2015-01-03 07:30:00,0,"2015-01-03","Sat",7,30,1
"224",2015-01-03 07:45:00,0,"2015-01-03","Sat",7,45,1
"225",2015-01-03 08:00:00,0,"2015-01-03","Sat",8,0,1
"226",2015-01-03 08:15:00,0,"2015-01-03","Sat",8,15,1
"227",2015-01-03 08:30:00,0,"2015-01-03","Sat",8,30,1
"228",2015-01-03 08:45:00,0,"2015-01-03","Sat",8,45,1
"229",2015-01-03 09:00:00,0,"2015-01-03","Sat",9,0,1
"230",2015-01-03 09:15:00,0,"2015-01-03","Sat",9,15,1
"231",2015-01-03 09:30:00,0,"2015-01-03","Sat",9,30,1
"232",2015-01-03 09:45:00,0,"2015-01-03","Sat",9,45,1
"233",2015-01-03 10:00:00,0,"2015-01-03","Sat",10,0,1
"234",2015-01-03 10:15:00,0,"2015-01-03","Sat",10,15,1
"235",2015-01-03 10:30:00,0,"2015-01-03","Sat",10,30,1
"236",2015-01-03 10:45:00,0,"2015-01-03","Sat",10,45,1
"237",2015-01-03 11:00:00,0,"2015-01-03","Sat",11,0,1
"238",2015-01-03 11:15:00,0,"2015-01-03","Sat",11,15,1
"239",2015-01-03 11:30:00,0,"2015-01-03","Sat",11,30,1
"240",2015-01-03 11:45:00,0,"2015-01-03","Sat",11,45,1
"241",2015-01-03 12:00:00,0,"2015-01-03","Sat",12,0,1
"242",2015-01-03 12:15:00,0,"2015-01-03","Sat",12,15,1
"243",2015-01-03 12:30:00,0,"2015-01-03","Sat",12,30,1
"244",2015-01-03 12:45:00,0,"2015-01-03","Sat",12,45,1
"245",2015-01-03 13:00:00,0,"2015-01-03","Sat",13,0,1
"246",2015-01-03 13:15:00,0,"2015-01-03","Sat",13,15,1
"247",2015-01-03 13:30:00,0,"2015-01-03","Sat",13,30,1
"248",2015-01-03 13:45:00,0,"2015-01-03","Sat",13,45,1
"249",2015-01-03 14:00:00,0,"2015-01-03","Sat",14,0,1
"250",2015-01-03 14:15:00,0,"2015-01-03","Sat",14,15,1
"251",2015-01-03 14:30:00,0,"2015-01-03","Sat",14,30,1
"252",2015-01-03 14:45:00,0,"2015-01-03","Sat",14,45,1
"253",2015-01-03 15:00:00,0,"2015-01-03","Sat",15,0,1
"254",2015-01-03 15:15:00,0,"2015-01-03","Sat",15,15,1
"255",2015-01-03 15:30:00,0,"2015-01-03","Sat",15,30,1
"256",2015-01-03 15:45:00,0,"2015-01-03","Sat",15,45,1
"257",2015-01-03 16:00:00,0,"2015-01-03","Sat",16,0,1
"258",2015-01-03 16:15:00,0,"2015-01-03","Sat",16,15,1
"259",2015-01-03 16:30:00,0,"2015-01-03","Sat",16,30,1
"260",2015-01-03 16:45:00,0,"2015-01-03","Sat",16,45,1
"261",2015-01-03 17:00:00,0,"2015-01-03","Sat",17,0,1
"262",2015-01-03 17:15:00,0,"2015-01-03","Sat",17,15,1
"263",2015-01-03 17:30:00,0,"2015-01-03","Sat",17,30,1
"264",2015-01-03 17:45:00,0,"2015-01-03","Sat",17,45,1
"265",2015-01-03 18:00:00,0,"2015-01-03","Sat",18,0,1
"266",2015-01-03 18:15:00,0,"2015-01-03","Sat",18,15,1
"267",2015-01-03 18:30:00,0,"2015-01-03","Sat",18,30,1
"268",2015-01-03 18:45:00,0,"2015-01-03","Sat",18,45,1
"269",2015-01-03 19:00:00,0,"2015-01-03","Sat",19,0,1
"270",2015-01-03 19:15:00,0,"2015-01-03","Sat",19,15,1
"271",2015-01-03 19:30:00,0,"2015-01-03","Sat",19,30,1
"272",2015-01-03 19:45:00,0,"2015-01-03","Sat",19,45,1
"273",2015-01-03 20:00:00,0,"2015-01-03","Sat",20,0,1
"274",2015-01-03 20:15:00,0,"2015-01-03","Sat",20,15,1
"275",2015-01-03 20:30:00,0,"2015-01-03","Sat",20,30,1
"276",2015-01-03 20:45:00,0,"2015-01-03","Sat",20,45,1
"277",2015-01-03 21:00:00,0,"2015-01-03","Sat",21,0,1
"278",2015-01-03 21:15:00,0,"2015-01-03","Sat",21,15,1
"279",2015-01-03 21:30:00,0,"2015-01-03","Sat",21,30,1
"280",2015-01-03 21:45:00,0,"2015-01-03","Sat",21,45,1
"281",2015-01-03 22:00:00,0,"2015-01-03","Sat",22,0,1
"282",2015-01-03 22:15:00,0,"2015-01-03","Sat",22,15,1
"283",2015-01-03 22:30:00,0,"2015-01-03","Sat",22,30,1
"284",2015-01-03 22:45:00,0,"2015-01-03","Sat",22,45,1
"285",2015-01-03 23:00:00,0,"2015-01-03","Sat",23,0,1
"286",2015-01-03 23:15:00,0,"2015-01-03","Sat",23,15,1
"287",2015-01-03 23:30:00,0,"2015-01-03","Sat",23,30,1
"288",2015-01-03 23:45:00,0,"2015-01-03","Sat",23,45,1
"289",2015-01-04 00:00:00,0,"2015-01-04","Sun",0,0,1
"290",2015-01-04 00:15:00,0,"2015-01-04","Sun",0,15,1
"291",2015-01-04 00:30:00,0,"2015-01-04","Sun",0,30,1
"292",2015-01-04 00:45:00,0,"2015-01-04","Sun",0,45,1
"293",2015-01-04 01:00:00,0,"2015-01-04","Sun",1,0,1
"294",2015-01-04 01:15:00,0,"2015-01-04","Sun",1,15,1
"295",2015-01-04 01:30:00,0,"2015-01-04","Sun",1,30,1
"296",2015-01-04 01:45:00,0,"2015-01-04","Sun",1,45,1
"297",2015-01-04 02:00:00,0,"2015-01-04","Sun",2,0,1
"298",2015-01-04 02:15:00,0,"2015-01-04","Sun",2,15,1
"299",2015-01-04 02:30:00,0,"2015-01-04","Sun",2,30,1
"300",2015-01-04 02:45:00,0,"2015-01-04","Sun",2,45,1
"301",2015-01-04 03:00:00,0,"2015-01-04","Sun",3,0,1
"302",2015-01-04 03:15:00,0,"2015-01-04","Sun",3,15,1
"303",2015-01-04 03:30:00,0,"2015-01-04","Sun",3,30,1
"304",2015-01-04 03:45:00,0,"2015-01-04","Sun",3,45,1
"305",2015-01-04 04:00:00,0,"2015-01-04","Sun",4,0,1
"306",2015-01-04 04:15:00,0,"2015-01-04","Sun",4,15,1
"307",2015-01-04 04:30:00,0,"2015-01-04","Sun",4,30,1
"308",2015-01-04 04:45:00,0,"2015-01-04","Sun",4,45,1
"309",2015-01-04 05:00:00,0,"2015-01-04","Sun",5,0,1
"310",2015-01-04 05:15:00,0,"2015-01-04","Sun",5,15,1
"311",2015-01-04 05:30:00,0,"2015-01-04","Sun",5,30,1
"312",2015-01-04 05:45:00,0,"2015-01-04","Sun",5,45,1
"313",2015-01-04 06:00:00,0,"2015-01-04","Sun",6,0,1
"314",2015-01-04 06:15:00,0,"2015-01-04","Sun",6,15,1
"315",2015-01-04 06:30:00,0,"2015-01-04","Sun",6,30,1
"316",2015-01-04 06:45:00,0,"2015-01-04","Sun",6,45,1
"317",2015-01-04 07:00:00,0,"2015-01-04","Sun",7,0,1
"318",2015-01-04 07:15:00,0,"2015-01-04","Sun",7,15,1
"319",2015-01-04 07:30:00,0,"2015-01-04","Sun",7,30,1
"320",2015-01-04 07:45:00,0,"2015-01-04","Sun",7,45,1
"321",2015-01-04 08:00:00,0,"2015-01-04","Sun",8,0,1
"322",2015-01-04 08:15:00,0,"2015-01-04","Sun",8,15,1
"323",2015-01-04 08:30:00,0,"2015-01-04","Sun",8,30,1
"324",2015-01-04 08:45:00,0,"2015-01-04","Sun",8,45,1
"325",2015-01-04 09:00:00,0,"2015-01-04","Sun",9,0,1
"326",2015-01-04 09:15:00,0,"2015-01-04","Sun",9,15,1
"327",2015-01-04 09:30:00,0,"2015-01-04","Sun",9,30,1
"328",2015-01-04 09:45:00,0,"2015-01-04","Sun",9,45,1
"329",2015-01-04 10:00:00,0,"2015-01-04","Sun",10,0,1
"330",2015-01-04 10:15:00,0,"2015-01-04","Sun",10,15,1
"331",2015-01-04 10:30:00,0,"2015-01-04","Sun",10,30,1
"332",2015-01-04 10:45:00,0,"2015-01-04","Sun",10,45,1
"333",2015-01-04 11:00:00,0,"2015-01-04","Sun",11,0,1
"334",2015-01-04 11:15:00,0,"2015-01-04","Sun",11,15,1
"335",2015-01-04 11:30:00,0,"2015-01-04","Sun",11,30,1
"336",2015-01-04 11:45:00,0,"2015-01-04","Sun",11,45,1
"337",2015-01-04 12:00:00,0,"2015-01-04","Sun",12,0,1
"338",2015-01-04 12:15:00,0,"2015-01-04","Sun",12,15,1
"339",2015-01-04 12:30:00,0,"2015-01-04","Sun",12,30,1
"340",2015-01-04 12:45:00,0,"2015-01-04","Sun",12,45,1
"341",2015-01-04 13:00:00,0,"2015-01-04","Sun",13,0,1
"342",2015-01-04 13:15:00,0,"2015-01-04","Sun",13,15,1
"343",2015-01-04 13:30:00,0,"2015-01-04","Sun",13,30,1
"344",2015-01-04 13:45:00,0,"2015-01-04","Sun",13,45,1
"345",2015-01-04 14:00:00,0,"2015-01-04","Sun",14,0,1
"346",2015-01-04 14:15:00,0,"2015-01-04","Sun",14,15,1
"347",2015-01-04 14:30:00,0,"2015-01-04","Sun",14,30,1
"348",2015-01-04 14:45:00,0,"2015-01-04","Sun",14,45,1
"349",2015-01-04 15:00:00,0,"2015-01-04","Sun",15,0,1
"350",2015-01-04 15:15:00,0,"2015-01-04","Sun",15,15,1
"351",2015-01-04 15:30:00,0,"2015-01-04","Sun",15,30,1
"352",2015-01-04 15:45:00,0,"2015-01-04","Sun",15,45,1
"353",2015-01-04 16:00:00,0,"2015-01-04","Sun",16,0,1
"354",2015-01-04 16:15:00,0,"2015-01-04","Sun",16,15,1
"355",2015-01-04 16:30:00,0,"2015-01-04","Sun",16,30,1
"356",2015-01-04 16:45:00,0,"2015-01-04","Sun",16,45,1
"357",2015-01-04 17:00:00,0,"2015-01-04","Sun",17,0,1
"358",2015-01-04 17:15:00,0,"2015-01-04","Sun",17,15,1
"359",2015-01-04 17:30:00,0,"2015-01-04","Sun",17,30,1
"360",2015-01-04 17:45:00,0,"2015-01-04","Sun",17,45,1
"361",2015-01-04 18:00:00,0,"2015-01-04","Sun",18,0,1
"362",2015-01-04 18:15:00,0,"2015-01-04","Sun",18,15,1
"363",2015-01-04 18:30:00,0,"2015-01-04","Sun",18,30,1
"364",2015-01-04 18:45:00,0,"2015-01-04","Sun",18,45,1
"365",2015-01-04 19:00:00,0,"2015-01-04","Sun",19,0,1
